,2013
0,17.57
1,19.27
2,28.53
3,17.04
4,17.13
5,14.75
6,22.03
7,22.69
8,19.32
9,18.45
10,19.96
11,12.17
12,10.4
13,17.67
14,19.96
15,17.21
16,18.43
17,7.24
18,21.17
19,17.34
20,17.7
21,21.4
22,23.49
23,14.66
24,21.47
25,12.98
26,26.25
27,14.27
28,12.6
29,16.05
30,15.78
31,20.01
32,16.94
33,19.58
34,15.42
35,19.45
36,14.69
37,19.9
38,26.92
39,17.05
40,17.42
41,17.45
42,19.0
43,19.63
44,21.04
45,15.73
46,32.32
47,21.42
48,17.22
49,22.15
50,17.24
51,15.39
52,18.21
53,20.86
54,26.6
55,15.52
56,17.59
57,20.4
58,14.62
59,18.5
60,11.48
61,25.89
62,20.74
63,18.23
64,19.22
65,24.22
66,15.94
67,18.1
68,17.19
69,17.1
70,13.78
71,20.86
72,17.88
73,17.92
74,17.76
75,17.12
76,20.3
77,19.09
78,26.67
79,21.5
80,12.5
81,18.95
82,18.85
83,20.76
84,12.52
85,19.58
86,9.21
87,19.97
88,14.1
89,18.5
90,18.1
91,15.09
92,16.22
93,18.16
94,16.02
95,15.81
96,14.29
97,16.66
98,18.33
99,21.05
100,14.61
101,14.83
102,16.49
103,14.03
104,13.59
105,23.22
106,18.75
107,20.13
108,19.12
109,16.06
110,25.17
111,20.81
112,16.18
113,20.08
114,16.42
115,24.32
116,19.27
117,18.27
118,24.12
119,23.26
120,22.14
121,18.86
122,20.86
123,32.66
124,17.86
125,17.17
126,22.65
127,19.93
128,17.39
129,14.57
130,15.32
131,20.01
132,21.05
133,19.84
134,17.36
135,20.19
136,11.28
137,24.59
138,15.9
139,17.19
140,23.24
141,14.31
142,21.49
143,18.76
144,22.82
145,19.97
146,20.95
147,11.89
148,14.65
149,23.14
150,15.32
151,18.41
152,18.59
153,22.75
154,31.42
155,28.95
156,15.99
157,19.02
158,16.93
159,21.39
160,12.76
161,14.06
162,14.85
163,22.81
164,19.19
165,17.46
166,21.75
167,15.44
168,21.2
169,27.45
170,21.4
171,18.08
172,19.61
173,17.41
174,17.13
175,15.11
176,18.94
177,14.63
178,18.74
179,12.06
180,18.64
181,15.43
182,24.33
183,15.53
184,15.01
185,17.23
186,19.33
187,18.52
188,18.62
189,14.45
190,18.45
191,17.91
192,26.1
193,14.62
194,22.21
195,25.03
196,14.47
197,16.77
198,16.01
199,17.43
200,21.75
201,13.89
202,17.71
203,24.93
204,11.74
205,16.16
206,23.79
207,19.15
208,26.36
209,11.17
210,18.48
211,28.13
212,14.29
213,9.49
214,24.38
215,14.66
216,26.44
217,17.45
218,18.57
219,17.23
220,19.59
221,16.94
222,20.31
223,18.36
224,28.38
225,14.24
226,21.3
227,21.54
228,20.63
229,15.21
230,20.2
231,19.31
232,25.77
233,19.41
234,19.69
235,13.75
236,16.55
237,25.64
238,13.82
239,19.6
240,18.11
241,17.7
242,23.41
243,25.48
244,18.31
245,15.28
246,16.37
247,15.94
248,19.9
249,17.79
250,27.78
251,15.55
252,14.03
253,14.32
254,21.98
255,18.86
256,20.34
257,13.09
258,13.71
259,15.59
260,11.32
261,18.81
262,16.66
263,20.6
264,18.86
265,15.56
266,14.79
267,19.45
268,18.95
269,19.66
270,21.16
271,37.15
272,24.88
273,20.24
274,13.59
275,23.69
276,17.01
277,25.24
278,15.93
279,18.23
280,15.21
281,19.09
282,19.95
283,20.03
284,10.41
285,17.7
286,19.91
287,16.36
288,24.79
289,19.06
290,16.7
291,20.13
292,20.36
293,19.03
294,15.98
295,17.06
296,22.65
297,24.26
298,26.27
299,19.11
300,15.46
301,25.4
302,16.83
303,20.59
304,19.99
305,19.63
306,19.61
307,17.57
308,21.72
309,21.16
310,15.47
311,19.75
312,16.91
313,22.05
314,23.16
315,16.39
316,15.2
317,14.57
318,15.13
319,13.35
320,15.44
321,18.07
322,18.84
323,24.88
324,21.02
325,18.51
326,24.74
327,20.04
328,14.11
329,15.18
330,18.85
331,24.04
332,21.98
333,19.4
334,19.06
335,17.89
336,19.52
337,19.65
338,24.84
339,21.02
340,21.72
341,16.09
342,22.75
343,22.46
344,16.76
345,20.8
346,17.58
347,22.71
348,16.64
349,17.35
350,20.7
351,16.65
352,27.59
353,20.75
354,18.18
355,23.17
356,16.76
357,13.16
358,16.22
359,16.65
360,17.54
361,19.02
362,12.69
363,16.12
364,17.64
365,30.02
366,24.86
367,19.66
368,27.03
369,22.79
370,29.56
371,28.46
372,21.34
373,19.03
374,33.11
375,26.59
376,25.99
377,19.8
378,23.74
379,12.4
380,12.24
381,23.32
382,11.93
383,25.91
384,19.93
385,16.61
386,15.58
387,16.46
388,16.65
389,15.41
390,17.69
391,16.74
392,11.57
393,19.03
394,17.2
395,18.33
396,20.11
397,16.13
398,12.73
399,19.05
400,13.34
401,22.42
402,21.27
403,9.98
404,16.58
405,11.63
406,22.19
407,27.03
408,27.08
409,18.66
410,18.89
411,20.77
412,24.45
413,24.63
414,25.54
415,28.48
416,27.16
417,26.03
418,31.79
419,20.65
420,21.62
421,25.88
422,22.73
423,21.42
424,22.85
425,29.05
426,25.97
427,31.18
428,20.44
429,21.23
430,16.01
431,25.28
432,16.03
433,22.33
434,23.13
435,13.33
436,20.87
437,16.11
438,18.8
439,24.83
440,13.55
441,16.39
442,28.29
443,23.67
444,31.1
445,22.42
446,20.21
447,21.14
448,21.86
449,19.22
450,32.95
451,23.06
452,17.9
453,23.09
454,20.86
455,23.37
456,15.94
457,20.53
458,14.65
459,18.98
460,19.62
461,19.79
462,26.32
463,18.2
464,19.34
465,19.39
466,18.62
467,22.37
468,21.74
469,20.31
470,21.34
471,21.65
472,19.8
473,18.18
474,17.23
475,17.42
476,13.89
477,13.61
478,13.05
479,17.74
480,14.92
481,14.99
482,14.24
483,15.09
484,16.53
485,23.11
486,16.61
487,22.68
488,20.84
489,20.8
490,17.4
491,15.45
492,21.82
493,25.57
494,18.5
495,22.74
496,25.95
497,22.15
498,17.94
499,17.51
500,21.25
501,25.65
502,15.31
503,20.1
504,25.48
505,24.17
506,21.36
507,23.07
508,25.8
509,17.27
510,17.22
511,16.09
512,19.19
513,17.73
514,17.13
515,19.57
516,11.24
517,20.0
518,21.81
519,17.61
520,22.12
521,17.39
522,17.64
523,23.26
524,15.94
525,17.23
526,13.27
527,15.24
528,19.68
529,16.2
530,17.35
531,21.72
532,18.6
533,22.35
534,15.53
535,20.03
536,22.1
537,16.3
538,20.02
539,15.24
540,23.28
541,21.38
542,10.49
543,13.08
544,24.46
545,25.79
546,16.35
547,20.32
548,14.25
549,16.04
550,22.74
551,15.54
552,31.85
553,15.97
554,22.04
555,18.5
556,15.9
557,23.16
558,25.82
559,20.12
560,28.9
561,29.58
562,19.15
563,20.71
564,33.81
565,37.19
566,23.58
567,17.59
568,22.54
569,28.82
570,28.89
571,24.76
572,23.57
