,2017
0,16.58
1,22.88
2,34.18
3,16.72
4,18.29
5,15.71
6,24.76
7,23.93
8,23.48
9,20.25
10,21.45
11,11.12
12,11.49
13,17.48
14,18.97
15,16.78
16,21.71
17,7.71
18,21.51
19,17.45
20,17.81
21,23.26
22,25.43
23,15.74
24,18.63
25,12.58
26,30.77
27,11.99
28,13.43
29,17.29
30,17.04
31,20.88
32,16.75
33,18.78
34,17.84
35,21.17
36,17.48
37,20.29
38,27.7
39,16.18
40,16.69
41,17.63
42,24.9
43,19.34
44,22.81
45,18.88
46,31.96
47,18.04
48,21.03
49,24.74
50,20.29
51,16.41
52,20.68
53,19.89
54,25.48
55,15.47
56,17.75
57,23.13
58,18.13
59,20.29
60,13.35
61,27.36
62,24.04
63,18.01
64,18.65
65,25.31
66,14.82
67,18.49
68,17.53
69,16.25
70,18.03
71,18.52
72,18.05
73,20.42
74,18.83
75,20.19
76,21.14
77,19.29
78,28.89
79,19.63
80,14.44
81,18.17
82,19.59
83,21.93
84,12.16
85,19.49
86,9.49
87,20.12
88,13.01
89,18.64
90,23.21
91,19.23
92,18.49
93,20.32
94,19.85
95,14.64
96,19.15
97,16.42
98,19.91
99,18.45
100,18.43
101,19.02
102,19.24
103,16.78
104,14.33
105,30.91
106,21.65
107,23.59
108,21.61
109,17.06
110,31.36
111,21.02
112,19.59
113,20.72
114,18.8
115,21.93
116,18.4
117,16.78
118,20.32
119,23.77
120,24.14
121,20.04
122,21.27
123,34.76
124,17.88
125,19.14
126,28.96
127,21.52
128,15.35
129,17.48
130,15.56
131,19.06
132,22.24
133,19.9
134,16.73
135,20.61
136,13.07
137,23.36
138,16.94
139,17.29
140,22.25
141,14.7
142,24.68
143,17.91
144,23.05
145,24.2
146,24.88
147,10.43
148,13.99
149,21.97
150,15.76
151,19.82
152,20.11
153,28.13
154,34.26
155,31.85
156,15.45
157,22.12
158,19.14
159,24.46
160,13.05
161,14.51
162,14.28
163,26.2
164,24.2
165,16.84
166,18.52
167,17.25
168,26.27
169,34.72
170,21.13
171,24.54
172,18.44
173,18.59
174,17.87
175,14.98
176,19.99
177,17.96
178,18.14
179,11.33
180,20.32
181,17.41
182,26.19
183,16.45
184,16.73
185,19.34
186,27.88
187,24.38
188,18.47
189,16.81
190,22.41
191,18.58
192,27.58
193,15.5
194,23.87
195,24.31
196,18.06
197,19.54
198,17.13
199,24.88
200,21.39
201,14.91
202,16.04
203,26.28
204,13.06
205,17.72
206,20.77
207,22.61
208,33.77
209,11.9
210,20.98
211,31.0
212,14.49
213,10.0
214,28.58
215,14.43
216,25.93
217,18.71
218,23.31
219,22.22
220,21.07
221,16.6
222,20.35
223,25.31
224,28.87
225,13.68
226,21.0
227,24.65
228,22.0
229,15.81
230,19.38
231,24.21
232,28.49
233,19.44
234,20.65
235,14.32
236,16.08
237,27.87
238,13.24
239,21.29
240,18.45
241,18.7
242,25.25
243,21.71
244,19.78
245,16.12
246,16.72
247,16.7
248,18.16
249,18.14
250,25.75
251,17.38
252,18.28
253,16.25
254,27.13
255,19.69
256,24.19
257,14.55
258,13.26
259,18.19
260,12.92
261,23.41
262,19.78
263,21.68
264,17.93
265,15.66
266,16.64
267,18.08
268,23.41
269,21.23
270,18.52
271,35.46
272,22.24
273,21.39
274,12.52
275,21.25
276,24.94
277,25.17
278,20.53
279,18.42
280,17.4
281,19.39
282,17.58
283,19.38
284,9.99
285,19.54
286,19.23
287,19.43
288,26.01
289,21.67
290,19.37
291,25.1
292,24.44
293,18.16
294,20.14
295,19.67
296,22.59
297,28.87
298,29.36
299,16.14
300,16.03
301,25.0
302,16.18
303,17.87
304,24.21
305,17.73
306,18.19
307,20.4
308,20.61
309,20.88
310,17.34
311,22.96
312,17.78
313,21.73
314,29.67
315,12.94
316,17.84
317,14.43
318,18.91
319,13.69
320,17.44
321,20.95
322,17.71
323,22.65
324,20.86
325,17.78
326,26.26
327,19.07
328,14.29
329,14.44
330,23.37
331,27.75
332,22.18
333,18.98
334,19.3
335,18.92
336,23.99
337,21.8
338,24.49
339,22.89
340,21.66
341,17.14
342,24.87
343,22.9
344,17.17
345,19.53
346,20.57
347,27.52
348,19.88
349,19.89
350,23.39
351,19.23
352,25.29
353,20.43
354,19.47
355,22.21
356,15.93
357,14.02
358,19.48
359,15.97
360,20.45
361,19.94
362,12.8
363,17.52
364,16.96
365,30.83
366,29.02
367,17.68
368,28.16
369,23.87
370,29.03
371,27.88
372,24.71
373,21.34
374,34.97
375,27.16
376,22.76
377,18.09
378,27.09
379,12.87
380,12.57
381,24.56
382,11.72
383,30.37
384,19.42
385,16.72
386,19.58
387,15.12
388,15.51
389,17.55
390,19.27
391,19.15
392,9.76
393,18.86
394,14.32
395,13.64
396,16.72
397,15.08
398,11.71
399,16.83
400,13.88
401,21.67
402,23.33
403,10.27
404,17.2
405,13.35
406,22.68
407,25.77
408,24.54
409,17.82
410,20.38
411,24.15
412,24.57
413,25.67
414,27.53
415,29.83
416,26.47
417,23.45
418,27.65
419,24.81
420,22.94
421,25.59
422,26.02
423,29.02
424,25.94
425,30.53
426,24.46
427,32.85
428,22.31
429,27.27
430,16.32
431,29.95
432,18.19
433,28.83
434,22.93
435,14.82
436,17.95
437,18.63
438,21.69
439,24.81
440,18.06
441,15.31
442,24.98
443,21.57
444,36.32
445,20.76
446,17.71
447,18.13
448,25.16
449,19.04
450,34.14
451,26.62
452,16.64
453,23.23
454,23.35
455,26.24
456,15.97
457,20.36
458,18.49
459,19.9
460,22.65
461,19.39
462,21.25
463,18.8
464,19.69
465,16.82
466,18.36
467,21.08
468,21.08
469,19.8
470,19.15
471,21.46
472,17.21
473,17.8
474,16.96
475,20.26
476,15.96
477,16.1
478,14.79
479,17.69
480,14.7
481,15.03
482,16.8
483,16.64
484,15.83
485,27.08
486,17.79
487,23.46
488,20.49
489,21.32
490,17.13
491,13.98
492,21.54
493,24.89
494,19.39
495,20.89
496,22.13
497,28.02
498,17.42
499,18.39
500,19.03
501,22.1
502,18.26
503,19.57
504,24.25
505,24.07
506,22.49
507,23.84
508,25.27
509,18.04
510,18.42
511,16.2
512,18.24
513,16.84
514,15.85
515,20.81
516,15.61
517,21.18
518,22.9
519,17.52
520,21.39
521,17.82
522,22.91
523,24.76
524,18.52
525,18.54
526,15.41
527,18.98
528,20.24
529,20.45
530,20.48
