,2014
0,18.95
1,24.11
2,31.07
3,18.64
4,19.34
5,17.77
6,21.75
7,24.59
8,22.8
9,17.38
10,20.13
11,12.03
12,12.67
13,18.02
14,19.3
15,18.48
16,20.19
17,8.23
18,21.4
19,19.93
20,19.35
21,22.99
22,27.36
23,15.49
24,21.86
25,13.53
26,27.07
27,14.72
28,15.11
29,20.06
30,16.74
31,19.44
32,17.4
33,19.21
34,19.18
35,21.46
36,18.53
37,20.57
38,31.57
39,19.46
40,18.21
41,18.42
42,21.31
43,22.51
44,21.9
45,20.88
46,37.28
47,23.26
48,18.64
49,23.88
50,18.54
51,19.71
52,21.38
53,22.46
54,28.43
55,18.69
56,18.16
57,22.72
58,17.75
59,21.59
60,13.95
61,28.43
62,26.27
63,22.62
64,20.71
65,27.17
66,19.68
67,18.66
68,19.9
69,14.97
70,15.45
71,21.49
72,19.17
73,19.1
74,19.09
75,19.81
76,19.68
77,21.09
78,27.77
79,22.01
80,14.13
81,17.89
82,20.81
83,19.33
84,13.76
85,22.37
86,10.26
87,17.26
88,12.31
89,20.96
90,21.9
91,20.97
92,19.08
93,21.73
94,16.1
95,18.34
96,16.92
97,16.03
98,20.62
99,20.08
100,17.87
101,18.02
102,19.99
103,16.72
104,14.96
105,27.38
106,20.25
107,25.1
108,25.64
109,18.66
110,30.36
111,22.8
112,19.65
113,26.57
114,18.64
115,25.78
116,18.72
117,20.81
118,23.17
119,26.3
120,24.81
121,22.5
122,20.83
123,32.45
124,19.37
125,22.04
126,23.2
127,22.34
128,16.68
129,18.75
130,15.93
131,20.94
132,22.18
133,20.23
134,18.9
135,23.15
136,14.14
137,24.82
138,18.51
139,20.89
140,21.97
141,16.32
142,25.48
143,19.68
144,23.5
145,18.89
146,22.55
147,9.84
148,14.96
149,22.36
150,16.15
151,17.38
152,23.59
153,25.96
154,39.7
155,25.58
156,15.31
157,23.76
158,20.49
159,25.0
160,13.71
161,15.64
162,14.26
163,25.18
164,24.47
165,18.2
166,17.3
167,17.26
168,22.66
169,27.2
170,21.32
171,22.61
172,22.33
173,20.66
174,22.55
175,17.85
176,21.72
177,20.55
178,21.48
179,13.79
180,22.65
181,18.39
182,25.12
183,18.26
184,17.02
185,18.74
186,25.5
187,19.76
188,21.75
189,18.04
190,20.82
191,17.8
192,30.98
193,18.02
194,27.52
195,27.28
196,19.91
197,22.35
198,17.94
199,23.37
200,23.54
201,14.22
202,15.76
203,30.37
204,14.39
205,20.64
206,21.36
207,24.43
208,27.31
209,11.65
210,21.94
211,32.48
212,17.46
213,11.57
214,31.05
215,15.48
216,26.72
217,17.24
218,20.07
219,20.45
220,23.27
221,19.72
222,20.14
223,23.05
224,29.71
225,18.03
226,21.82
227,26.84
228,21.98
229,18.67
230,22.5
231,23.19
232,28.62
233,20.16
234,21.21
235,16.67
236,20.33
237,26.07
238,15.64
239,22.43
240,17.1
241,20.64
242,26.16
243,23.11
244,17.89
245,14.95
246,18.88
247,16.75
248,18.3
249,18.88
250,28.74
251,20.08
252,18.12
253,18.38
254,27.84
255,23.58
256,24.69
257,15.62
258,17.84
259,19.27
260,12.53
261,26.87
262,18.16
263,26.32
264,22.8
265,15.57
266,16.77
267,18.72
268,21.3
269,17.26
270,22.52
271,39.26
272,26.72
273,24.19
274,16.42
275,25.87
276,22.2
277,26.92
278,21.75
279,18.63
280,21.74
281,19.35
282,19.0
283,20.21
284,10.36
285,17.81
286,21.54
287,18.46
288,27.61
289,22.26
290,20.81
291,25.39
292,21.7
293,19.74
294,20.91
295,18.19
296,21.29
297,25.77
298,28.3
299,18.96
300,16.13
301,26.64
302,18.6
303,19.21
304,24.91
305,22.17
306,20.55
307,22.37
308,23.86
309,22.03
310,18.81
311,25.99
312,17.47
313,23.71
314,27.73
315,19.81
316,14.26
317,17.91
318,19.06
319,13.99
320,15.68
321,24.54
322,20.4
323,24.06
324,21.43
325,18.28
326,29.39
327,18.01
328,14.7
329,15.64
330,24.39
331,27.63
332,23.67
333,18.37
334,19.35
335,19.84
336,23.78
337,21.02
338,23.37
339,24.24
340,20.73
